Date,Barrage,Capacite Normale (Mm3),Reserve (Mm3),Taux de Remplissage (%)
2026-01-03,Zamrine,0.496,-,-
2026-01-03,Réserve totale,,978.65106,
2026-01-02,Sidi Mohammed Ben Abdellah,974.788,919.218,94.2993
2026-01-02,Tamesna,57,25.26,44.3158
2026-01-02,El Mellah,35,20.172,57.6343
2026-01-02,El Himer,14,2.108,15.0571
2026-01-02,Maazer,13,-,-
2026-01-02,O. Hassar,2.24,-,-
2026-01-02,Ain Kouachia,11,11.26,102.364
2026-01-02,Zamrine,0.496,-,-
2026-01-02,Réserve totale,,978.018,
2026-01-01,Sidi Mohammed Ben Abdellah,974.788,917.886,94.1626
2026-01-01,Tamesna,57,25.241,44.2825
2026-01-01,El Mellah,35,20.172,57.6343
2026-01-01,El Himer,14,2.155,15.3929
2026-01-01,Maazer,13,-,-
2026-01-01,O. Hassar,2.24,-,-
2026-01-01,Ain Kouachia,11,11.69,106.273
2026-01-01,Zamrine,0.496,-,-
2026-01-01,Réserve totale,,977.14404,
2025-12-31,Sidi Mohammed Ben Abdellah,974.788,916.556,94.0262
2025-12-31,Tamesna,57,25.241,44.2825
2025-12-31,El Mellah,35,20.172,57.6343
2025-12-31,El Himer,14,2.198,15.7
2025-12-31,Maazer,13,-,-
2025-12-31,O. Hassar,2.24,-,-
2025-12-31,Ain Kouachia,11,12.32,112
2025-12-31,Zamrine,0.496,-,-
2025-12-31,Réserve totale,,976.48706,
2025-12-30,Sidi Mohammed Ben Abdellah,974.788,920.106,94.3904
2025-12-30,Tamesna,57,25.181,44.1772
2025-12-30,El Mellah,35,20.102,57.4343
2025-12-30,El Himer,14,2.237,15.9786
2025-12-30,Maazer,13,-,-
2025-12-30,O. Hassar,2.24,-,-
2025-12-30,Ain Kouachia,11,12.95,117.727
2025-12-30,Zamrine,0.496,-,-
2025-12-30,Réserve totale,,980.576,
2025-12-29,Sidi Mohammed Ben Abdellah,974.788,899.796,92.3068
2025-12-29,Tamesna,57,24.594,43.1474
2025-12-29,El Mellah,35,19.788,56.5371
2025-12-29,El Himer,14,2.287,16.3357
2025-12-29,Maazer,13,-,-
2025-12-29,O. Hassar,2.24,-,-
2025-12-29,Ain Kouachia,11,13.12,119.273
2025-12-29,Zamrine,0.496,-,-
2025-12-29,Réserve totale,,959.585,
2025-12-28,Sidi Mohammed Ben Abdellah,974.788,868.052,89.0503
2025-12-28,Tamesna,57,23.881,41.8965
2025-12-28,El Mellah,35,18.485,52.8143
2025-12-28,El Himer,14,2.262,16.1571
2025-12-28,Maazer,13,-,-
2025-12-28,O. Hassar,2.24,-,-
2025-12-28,Ain Kouachia,11,12.76,116
2025-12-28,Zamrine,0.496,-,-
2025-12-28,Réserve totale,,925.44,
2025-12-27,Sidi Mohammed Ben Abdellah,974.788,853.894,87.5979
2025-12-27,Tamesna,57,21.812,38.2667
2025-12-27,El Mellah,35,16.834,48.0971
2025-12-27,El Himer,14,1.88,13.4286
2025-12-27,Maazer,13,-,-
2025-12-27,O. Hassar,2.24,-,-
2025-12-27,Ain Kouachia,11,12.35,112.273
2025-12-27,Zamrine,0.496,-,-
2025-12-27,Réserve totale,,906.76996,
2025-12-26,Sidi Mohammed Ben Abdellah,974.788,847.085,86.8994
2025-12-26,Tamesna,57,21.595,37.886
2025-12-26,El Mellah,35,16.769,47.9114
2025-12-26,El Himer,14,1.88,13.4286
2025-12-26,Maazer,13,-,-
2025-12-26,O. Hassar,2.24,-,-
2025-12-26,Ain Kouachia,11,12.65,115
2025-12-26,Zamrine,0.496,-,-
2025-12-26,Réserve totale,,899.979,
2025-12-25,Sidi Mohammed Ben Abdellah,974.788,826.884,84.8271
2025-12-25,Tamesna,57,21.361,37.4754
2025-12-25,El Mellah,35,15.939,45.54
2025-12-25,El Himer,14,1.925,13.75
2025-12-25,Maazer,13,-,-
2025-12-25,O. Hassar,2.24,-,-
2025-12-25,Ain Kouachia,11,12.62,114.727
2025-12-25,Zamrine,0.496,-,-
2025-12-25,Réserve totale,,878.729,
2025-12-24,Sidi Mohammed Ben Abdellah,974.788,807.858,82.8753
2025-12-24,Tamesna,57,21.253,37.286
2025-12-24,El Mellah,35,15.562,44.4629
2025-12-24,El Himer,14,1.969,14.0643
2025-12-24,Maazer,13,-,-
2025-12-24,O. Hassar,2.24,-,-
2025-12-24,Ain Kouachia,11,11.64,105.818
2025-12-24,Zamrine,0.496,-,-
2025-12-24,Réserve totale,,858.282,
2025-12-23,Sidi Mohammed Ben Abdellah,974.788,792.397,81.2892
2025-12-23,Tamesna,57,21.145,37.0965
2025-12-23,El Mellah,35,15.5,44.2857
2025-12-23,El Himer,14,1.969,14.0643
2025-12-23,Maazer,13,-,-
2025-12-23,O. Hassar,2.24,-,-
2025-12-23,Ain Kouachia,11,11.43,103.909
2025-12-23,Zamrine,0.496,-,-
2025-12-23,Réserve totale,,842.441,
2025-12-22,Sidi Mohammed Ben Abdellah,974.788,777.575,79.7686
2025-12-22,Tamesna,57,20.401,35.7912
2025-12-22,El Mellah,35,14.577,41.6486
2025-12-22,El Himer,14,1.938,13.8429
2025-12-22,Maazer,13,-,-
2025-12-22,O. Hassar,2.24,-,-
2025-12-22,Ain Kouachia,11,11.51,104.636
2025-12-22,Zamrine,0.496,-,-
2025-12-22,Réserve totale,,826.00104,
2025-12-21,Sidi Mohammed Ben Abdellah,974.788,771.239,79.1186
2025-12-21,Tamesna,57,20.21,35.4561
2025-12-21,El Mellah,35,14.156,40.4457
2025-12-21,El Himer,14,1.845,13.1786
2025-12-21,Maazer,13,-,-
2025-12-21,O. Hassar,2.24,-,-
2025-12-21,Ain Kouachia,11,11.289,102.627
2025-12-21,Zamrine,0.496,-,-
2025-12-21,Réserve totale,,818.739,
2025-12-20,Sidi Mohammed Ben Abdellah,974.788,769.662,78.9569
2025-12-20,Tamesna,57,20.122,35.3018
2025-12-20,El Mellah,35,14.366,41.0457
2025-12-20,El Himer,14,1.841,13.15
2025-12-20,Maazer,13,-,-
2025-12-20,O. Hassar,2.24,-,-
2025-12-20,Ain Kouachia,11,11.57,105.182
2025-12-20,Zamrine,0.496,-,-
2025-12-20,Réserve totale,,817.56104,
2025-12-19,Sidi Mohammed Ben Abdellah,974.788,767.301,78.7147
2025-12-19,Tamesna,57,20.122,35.3018
2025-12-19,El Mellah,35,14.276,40.7886
2025-12-19,El Himer,14,1.837,13.1214
2025-12-19,Maazer,13,-,-
2025-12-19,O. Hassar,2.24,-,-
2025-12-19,Ain Kouachia,11,11.85,107.727
2025-12-19,Zamrine,0.496,-,-
2025-12-19,Réserve totale,,815.386,
2025-12-18,Sidi Mohammed Ben Abdellah,974.788,759.479,77.9122
2025-12-18,Tamesna,57,20.035,35.1491
2025-12-18,El Mellah,35,14.276,40.7886
2025-12-18,El Himer,14,1.837,13.1214
2025-12-18,Maazer,13,-,-
2025-12-18,O. Hassar,2.24,-,-
2025-12-18,Ain Kouachia,11,12.14,110.364
2025-12-18,Zamrine,0.496,-,-
2025-12-18,Réserve totale,,807.76697,
2025-12-17,Sidi Mohammed Ben Abdellah,974.788,715.481,73.3986
2025-12-17,Tamesna,57,16.487,28.9246
2025-12-17,El Mellah,35,12.203,34.8657
2025-12-17,El Himer,14,1.653,11.8071
2025-12-17,Maazer,13,-,-
2025-12-17,O. Hassar,2.24,-,-
2025-12-17,Ain Kouachia,11,12.062,109.655
2025-12-17,Zamrine,0.496,-,-
2025-12-17,Réserve totale,,757.88605,
2025-12-16,Sidi Mohammed Ben Abdellah,974.788,689.75,70.759
2025-12-16,Tamesna,57,15.39,27
2025-12-16,El Mellah,35,10.331,29.5171
2025-12-16,El Himer,14,1.124,8.02857
2025-12-16,Maazer,13,-,-
2025-12-16,O. Hassar,2.24,-,-
2025-12-16,Ain Kouachia,11,8.054,73.2182
2025-12-16,Zamrine,0.496,-,-
2025-12-16,Réserve totale,,724.64905,
2025-12-15,Sidi Mohammed Ben Abdellah,974.788,690.12,70.7969
2025-12-15,Tamesna,57,15.39,27
2025-12-15,El Mellah,35,10.304,29.44
2025-12-15,El Himer,14,1.124,8.02857
2025-12-15,Maazer,13,-,-
2025-12-15,O. Hassar,2.24,-,-
2025-12-15,Ain Kouachia,11,8.054,73.2182
2025-12-15,Zamrine,0.496,0.329,66.3306
2025-12-15,Réserve totale,,725.32104,
2025-12-14,Sidi Mohammed Ben Abdellah,974.788,690.12,70.7969
2025-12-14,Tamesna,57,15.405,27.0263
2025-12-14,El Mellah,35,10.304,29.44
2025-12-14,El Himer,14,1.124,8.02857
2025-12-14,Maazer,13,-,-
2025-12-14,O. Hassar,2.24,-,-
2025-12-14,Ain Kouachia,11,8.054,73.2182
2025-12-14,Zamrine,0.496,0.33,66.5323
2025-12-14,Réserve totale,,725.3371,
2025-12-13,Sidi Mohammed Ben Abdellah,974.788,689.75,70.759
2025-12-13,Tamesna,57,15.419,27.0509
2025-12-13,El Mellah,35,10.304,29.44
2025-12-13,El Himer,14,1.124,8.02857
2025-12-13,Maazer,13,-,-
2025-12-13,O. Hassar,2.24,-,-
2025-12-13,Ain Kouachia,11,8.054,73.2182
2025-12-13,Zamrine,0.496,0.33,66.5323
2025-12-13,Réserve totale,,724.9811,
2025-12-12,Sidi Mohammed Ben Abdellah,974.788,689.01,70.6831
2025-12-12,Tamesna,57,15.433,27.0754
2025-12-12,El Mellah,35,10.276,29.36
2025-12-12,El Himer,14,1.105,7.89286
2025-12-12,Maazer,13,-,-
2025-12-12,O. Hassar,2.24,-,-
2025-12-12,Ain Kouachia,11,8.041,73.1
2025-12-12,Zamrine,0.496,0.33,66.5323
2025-12-12,Réserve totale,,724.195,
2025-12-11,Sidi Mohammed Ben Abdellah,974.788,688.641,70.6452
2025-12-11,Tamesna,57,15.433,27.0754
2025-12-11,El Mellah,35,10.086,28.8171
2025-12-11,El Himer,14,1.105,7.89286
2025-12-11,Maazer,13,-,-
2025-12-11,O. Hassar,2.24,-,-
2025-12-11,Ain Kouachia,11,8.041,73.1
2025-12-11,Zamrine,0.496,0.33,66.5323
2025-12-11,Réserve totale,,723.636,
2025-12-10,Sidi Mohammed Ben Abdellah,974.788,687.902,70.5694
2025-12-10,Tamesna,57,15.419,27.0509
2025-12-10,El Mellah,35,10.059,28.74
2025-12-10,El Himer,14,1.084,7.74286
2025-12-10,Maazer,13,-,-
2025-12-10,O. Hassar,2.24,-,-
2025-12-10,Ain Kouachia,11,8.041,73.1
2025-12-10,Zamrine,0.496,0.33,66.5323
2025-12-10,Réserve totale,,722.835,
2025-12-09,Sidi Mohammed Ben Abdellah,974.788,687.533,70.5315
2025-12-09,Tamesna,57,15.433,27.0754
2025-12-09,El Mellah,35,10.086,28.8171
2025-12-09,El Himer,14,1.084,7.74286
2025-12-09,Maazer,13,-,-
2025-12-09,O. Hassar,2.24,-,-
2025-12-09,Ain Kouachia,11,8.041,73.1
2025-12-09,Zamrine,0.496,0.33,66.5323
2025-12-09,Réserve totale,,722.507,
2025-12-08,Sidi Mohammed Ben Abdellah,974.788,687.533,70.5315
2025-12-08,Tamesna,57,15.462,27.1263
2025-12-08,El Mellah,35,10.086,28.8171
2025-12-08,El Himer,14,1.084,7.74286
2025-12-08,Maazer,13,-,-
2025-12-08,O. Hassar,2.24,-,-
2025-12-08,Ain Kouachia,11,8.041,73.1
2025-12-08,Zamrine,0.496,0.331,66.7339
2025-12-08,Réserve totale,,722.537,
2025-12-07,Sidi Mohammed Ben Abdellah,974.788,687.163,70.4936
2025-12-07,Tamesna,57,15.477,27.1526
2025-12-07,El Mellah,35,10.086,28.8171
2025-12-07,El Himer,14,1.084,7.74286
2025-12-07,Maazer,13,-,-
2025-12-07,O. Hassar,2.24,-,-
2025-12-07,Ain Kouachia,11,8.054,73.2182
2025-12-07,Zamrine,0.496,0.331,66.7339
2025-12-07,Réserve totale,,722.195,
2025-12-06,Sidi Mohammed Ben Abdellah,974.788,686.794,70.4557
2025-12-06,Tamesna,57,15.491,27.1772
2025-12-06,El Mellah,35,10,28.5714
2025-12-06,El Himer,14,1.084,7.74286
2025-12-06,Maazer,13,-,-
2025-12-06,O. Hassar,2.24,-,-
2025-12-06,Ain Kouachia,11,8.054,73.2182
2025-12-06,Zamrine,0.496,0.331,66.7339
2025-12-06,Réserve totale,,721.754,
2025-12-05,Sidi Mohammed Ben Abdellah,974.788,686.056,70.38
2025-12-05,Tamesna,57,15.52,27.2281
2025-12-05,El Mellah,35,10.086,28.8171
2025-12-05,El Himer,14,1.084,7.74286
2025-12-05,Maazer,13,-,-
2025-12-05,O. Hassar,2.24,-,-
2025-12-05,Ain Kouachia,11,8.054,73.2182
2025-12-05,Zamrine,0.496,0.331,66.7339
2025-12-05,Réserve totale,,721.13104,
2025-12-04,Sidi Mohammed Ben Abdellah,974.788,685.687,70.3422
2025-12-04,Tamesna,57,15.534,27.2526
2025-12-04,El Mellah,35,10.086,28.8171
2025-12-04,El Himer,14,1.084,7.74286
2025-12-04,Maazer,13,-,-
2025-12-04,O. Hassar,2.24,-,-
2025-12-04,Ain Kouachia,11,8.054,73.2182
2025-12-04,Zamrine,0.496,0.333,67.1371
2025-12-04,Réserve totale,,720.778,
2025-12-03,Sidi Mohammed Ben Abdellah,974.788,684.581,70.2287
2025-12-03,Tamesna,57,15.549,27.2789
2025-12-03,El Mellah,35,10.086,28.8171
2025-12-03,El Himer,14,1.081,7.72143
2025-12-03,Maazer,13,-,-
2025-12-03,O. Hassar,2.24,-,-
2025-12-03,Ain Kouachia,11,8.054,73.2182
2025-12-03,Zamrine,0.496,0.333,67.1371
2025-12-03,Réserve totale,,719.684,
2025-12-02,Sidi Mohammed Ben Abdellah,974.788,682.371,70.002
2025-12-02,Tamesna,57,15.563,27.3035
2025-12-02,El Mellah,35,10.086,28.8171
2025-12-02,El Himer,14,1.081,7.72143
2025-12-02,Maazer,13,-,-
2025-12-02,O. Hassar,2.24,-,-
2025-12-02,Ain Kouachia,11,8.054,73.2182
2025-12-02,Zamrine,0.496,0.333,67.1371
2025-12-02,Réserve totale,,717.488,
2025-12-01,Sidi Mohammed Ben Abdellah,974.788,673.191,69.0602
2025-12-01,Tamesna,57,15.578,27.3298
2025-12-01,El Mellah,35,10.086,28.8171
2025-12-01,El Himer,14,1.081,7.72143
2025-12-01,Maazer,13,-,-
2025-12-01,O. Hassar,2.24,-,-
2025-12-01,Ain Kouachia,11,8.054,73.2182
2025-12-01,Zamrine,0.496,0.334,67.3387
2025-12-01,Réserve totale,,708.324,
2025-11-30,Sidi Mohammed Ben Abdellah,974.788,671.361,68.8725
2025-11-30,Tamesna,57,15.606,27.3789
2025-11-30,El Mellah,35,10.086,28.8171
2025-11-30,El Himer,14,1.081,7.72143
2025-11-30,Maazer,13,-,-
2025-11-30,O. Hassar,2.24,-,-
2025-11-30,Ain Kouachia,11,7.644,69.4909
2025-11-30,Zamrine,0.496,0.334,67.3387
2025-11-30,Réserve totale,,706.112,
2025-11-29,Sidi Mohammed Ben Abdellah,974.788,670.995,68.835
2025-11-29,Tamesna,57,15.65,27.4561
2025-11-29,El Mellah,35,10.086,28.8171
2025-11-29,El Himer,14,1.081,7.72143
2025-11-29,Maazer,13,-,-
2025-11-29,O. Hassar,2.24,-,-
2025-11-29,Ain Kouachia,11,7.644,69.4909
2025-11-29,Zamrine,0.496,0.334,67.3387
2025-11-29,Réserve totale,,705.79,
2025-11-28,Sidi Mohammed Ben Abdellah,974.788,670.629,68.7974
2025-11-28,Tamesna,57,15.65,27.4561
2025-11-28,El Mellah,35,10.086,28.8171
2025-11-28,El Himer,14,1.084,7.74286
2025-11-28,Maazer,13,-,-
2025-11-28,O. Hassar,2.24,-,-
2025-11-28,Ain Kouachia,11,7.644,69.4909
2025-11-28,Zamrine,0.496,0.334,67.3387
2025-11-28,Réserve totale,,705.427,
2025-11-27,Sidi Mohammed Ben Abdellah,974.788,670.629,68.7974
2025-11-27,Tamesna,57,15.679,27.507
2025-11-27,El Mellah,35,10.086,28.8171
2025-11-27,El Himer,14,1.084,7.74286
2025-11-27,Maazer,13,-,-
2025-11-27,O. Hassar,2.24,-,-
2025-11-27,Ain Kouachia,11,7.657,69.6091
2025-11-27,Zamrine,0.496,0.335,67.5403
2025-11-27,Réserve totale,,705.47003,
2025-11-26,Sidi Mohammed Ben Abdellah,974.788,670.264,68.76
2025-11-26,Tamesna,57,15.708,27.5579
2025-11-26,El Mellah,35,10.086,28.8171
2025-11-26,El Himer,14,1.084,7.74286
2025-11-26,Maazer,13,-,-
2025-11-26,O. Hassar,2.24,-,-
2025-11-26,Ain Kouachia,11,7.657,69.6091
2025-11-26,Zamrine,0.496,0.335,67.5403
2025-11-26,Réserve totale,,705.134,
2025-11-25,Sidi Mohammed Ben Abdellah,974.788,669.898,68.7224
2025-11-25,Tamesna,57,15.737,27.6088
2025-11-25,El Mellah,35,10.113,28.8943
2025-11-25,El Himer,14,1.084,7.74286
2025-11-25,Maazer,13,-,-
2025-11-25,O. Hassar,2.24,-,-
2025-11-25,Ain Kouachia,11,7.657,69.6091
2025-11-25,Zamrine,0.496,0.336,67.7419
2025-11-25,Réserve totale,,704.82495,
2025-11-24,Sidi Mohammed Ben Abdellah,974.788,669.533,68.685
2025-11-24,Tamesna,57,15.766,27.6596
2025-11-24,El Mellah,35,10.113,28.8943
2025-11-24,El Himer,14,1.084,7.74286
2025-11-24,Maazer,13,-,-
2025-11-24,O. Hassar,2.24,-,-
2025-11-24,Ain Kouachia,11,7.657,69.6091
2025-11-24,Zamrine,0.496,0.336,67.7419
2025-11-24,Réserve totale,,704.48895,
2025-11-23,Sidi Mohammed Ben Abdellah,974.788,669.167,68.6474
2025-11-23,Tamesna,57,15.78,27.6842
2025-11-23,El Mellah,35,10.113,28.8943
2025-11-23,El Himer,14,1.084,7.74286
2025-11-23,Maazer,13,-,-
2025-11-23,O. Hassar,2.24,-,-
2025-11-23,Ain Kouachia,11,7.67,69.7273
2025-11-23,Zamrine,0.496,0.336,67.7419
2025-11-23,Réserve totale,,704.14996,
2025-11-22,Sidi Mohammed Ben Abdellah,974.788,668.802,68.61
2025-11-22,Tamesna,57,15.795,27.7105
2025-11-22,El Mellah,35,10.113,28.8943
2025-11-22,El Himer,14,1.084,7.74286
2025-11-22,Maazer,13,-,-
2025-11-22,O. Hassar,2.24,-,-
2025-11-22,Ain Kouachia,11,7.67,69.7273
2025-11-22,Zamrine,0.496,0.336,67.7419
2025-11-22,Réserve totale,,703.7999,
2025-11-21,Sidi Mohammed Ben Abdellah,974.788,668.802,68.61
2025-11-21,Tamesna,57,15.809,27.7351
2025-11-21,El Mellah,35,10.141,28.9743
2025-11-21,El Himer,14,1.084,7.74286
2025-11-21,Maazer,13,-,-
2025-11-21,O. Hassar,2.24,-,-
2025-11-21,Ain Kouachia,11,7.683,69.8455
2025-11-21,Zamrine,0.496,0.337,67.9436
2025-11-21,Réserve totale,,703.85596,
2025-11-20,Sidi Mohammed Ben Abdellah,974.788,668.802,68.61
2025-11-20,Tamesna,57,15.824,27.7614
2025-11-20,El Mellah,35,10.141,28.9743
2025-11-20,El Himer,14,1.084,7.74286
2025-11-20,Maazer,13,-,-
2025-11-20,O. Hassar,2.24,-,-
2025-11-20,Ain Kouachia,11,7.683,69.8455
2025-11-20,Zamrine,0.496,0.337,67.9436
2025-11-20,Réserve totale,,703.8709,
2025-11-19,Sidi Mohammed Ben Abdellah,974.788,666.611,68.3852
2025-11-19,Tamesna,57,15.839,27.7877
2025-11-19,El Mellah,35,10.141,28.9743
2025-11-19,El Himer,14,1.084,7.74286
2025-11-19,Maazer,13,-,-
2025-11-19,O. Hassar,2.24,-,-
2025-11-19,Ain Kouachia,11,7.683,69.8455
2025-11-19,Zamrine,0.496,0.337,67.9436
2025-11-19,Réserve totale,,701.69495,
2025-11-18,Sidi Mohammed Ben Abdellah,974.788,660.43,67.7511
2025-11-18,Tamesna,57,15.839,27.7877
2025-11-18,El Mellah,35,10.141,28.9743
2025-11-18,El Himer,14,1.084,7.74286
2025-11-18,Maazer,13,-,-
2025-11-18,O. Hassar,2.24,-,-
2025-11-18,Ain Kouachia,11,7.169,65.1727
2025-11-18,Zamrine,0.496,0.338,68.1452
2025-11-18,Réserve totale,,695.001,
2025-11-17,Sidi Mohammed Ben Abdellah,974.788,657.898,67.4914
2025-11-17,Tamesna,57,15.853,27.8123
2025-11-17,El Mellah,35,10.168,29.0514
2025-11-17,El Himer,14,1.084,7.74286
2025-11-17,Maazer,13,-,-
2025-11-17,O. Hassar,2.24,-,-
2025-11-17,Ain Kouachia,11,7.055,64.1364
2025-11-17,Zamrine,0.496,0.338,68.1452
2025-11-17,Réserve totale,,692.39606,
2025-11-16,Sidi Mohammed Ben Abdellah,974.788,658.982,67.6026
2025-11-16,Tamesna,57,15.868,27.8386
2025-11-16,El Mellah,35,10.168,29.0514
2025-11-16,El Himer,14,1.084,7.74286
2025-11-16,Maazer,13,-,-
2025-11-16,O. Hassar,2.24,-,-
2025-11-16,Ain Kouachia,11,7.043,64.0273
2025-11-16,Zamrine,0.496,0.338,68.1452
2025-11-16,Réserve totale,,693.48303,
2025-11-15,Sidi Mohammed Ben Abdellah,974.788,660.068,67.714
2025-11-15,Tamesna,57,15.897,27.8895
2025-11-15,El Mellah,35,10.168,29.0514
2025-11-15,El Himer,14,1.084,7.74286
2025-11-15,Maazer,13,-,-
2025-11-15,O. Hassar,2.24,-,-
2025-11-15,Ain Kouachia,11,7.043,64.0273
2025-11-15,Zamrine,0.496,0.338,68.1452
2025-11-15,Réserve totale,,694.598,
2025-11-14,Sidi Mohammed Ben Abdellah,974.788,660.43,67.7511
2025-11-14,Tamesna,57,15.911,27.914
2025-11-14,El Mellah,35,10.168,29.0514
2025-11-14,El Himer,14,1.077,7.69286
2025-11-14,Maazer,13,-,-
2025-11-14,O. Hassar,2.24,-,-
2025-11-14,Ain Kouachia,11,6.994,63.5818
2025-11-14,Zamrine,0.496,0.338,68.1452
2025-11-14,Réserve totale,,694.9181,
2025-11-13,Sidi Mohammed Ben Abdellah,974.788,658.982,67.6026
2025-11-13,Tamesna,57,15.911,27.914
2025-11-13,El Mellah,35,10.059,28.74
2025-11-13,El Himer,14,1.068,7.62857
2025-11-13,Maazer,13,-,-
2025-11-13,O. Hassar,2.24,-,-
2025-11-13,Ain Kouachia,11,6.712,61.0182
2025-11-13,Zamrine,0.496,0.338,68.1452
2025-11-13,Réserve totale,,693.07,
2025-11-12,Sidi Mohammed Ben Abdellah,974.788,658.982,67.6026
2025-11-12,Tamesna,57,15.941,27.9667
2025-11-12,El Mellah,35,10.086,28.8171
2025-11-12,El Himer,14,1.071,7.65
2025-11-12,Maazer,13,-,-
2025-11-12,O. Hassar,2.24,-,-
2025-11-12,Ain Kouachia,11,6.724,61.1273
2025-11-12,Zamrine,0.496,0.338,68.1452
2025-11-12,Réserve totale,,693.14197,
2025-11-11,Sidi Mohammed Ben Abdellah,974.788,658.62,67.5655
2025-11-11,Tamesna,57,15.955,27.9912
2025-11-11,El Mellah,35,10.086,28.8171
2025-11-11,El Himer,14,1.071,7.65
2025-11-11,Maazer,13,-,-
2025-11-11,O. Hassar,2.24,-,-
2025-11-11,Ain Kouachia,11,6.724,61.1273
2025-11-11,Zamrine,0.496,0.34,68.5484
2025-11-11,Réserve totale,,692.796,
2025-11-10,Sidi Mohammed Ben Abdellah,974.788,658.62,67.5655
2025-11-10,Tamesna,57,15.984,28.0421
2025-11-10,El Mellah,35,10.113,28.8943
2025-11-10,El Himer,14,1.071,7.65
2025-11-10,Maazer,13,-,-
2025-11-10,O. Hassar,2.24,-,-
2025-11-10,Ain Kouachia,11,6.736,61.2364
2025-11-10,Zamrine,0.496,0.34,68.5484
2025-11-10,Réserve totale,,692.864,
2025-11-09,Sidi Mohammed Ben Abdellah,974.788,658.62,67.5655
2025-11-09,Tamesna,57,16.014,28.0947
2025-11-09,El Mellah,35,10.141,28.9743
2025-11-09,El Himer,14,1.071,7.65
2025-11-09,Maazer,13,-,-
2025-11-09,O. Hassar,2.24,-,-
2025-11-09,Ain Kouachia,11,6.749,61.3545
2025-11-09,Zamrine,0.496,0.34,68.5484
2025-11-09,Réserve totale,,692.935,
2025-11-08,Sidi Mohammed Ben Abdellah,974.788,658.259,67.5284
2025-11-08,Tamesna,57,16.043,28.1456
2025-11-08,El Mellah,35,10.168,29.0514
2025-11-08,El Himer,14,1.074,7.67143
2025-11-08,Maazer,13,-,-
2025-11-08,O. Hassar,2.24,-,-
2025-11-08,Ain Kouachia,11,6.761,61.4636
2025-11-08,Zamrine,0.496,0.341,68.75
2025-11-08,Réserve totale,,692.646,
2025-11-07,Sidi Mohammed Ben Abdellah,974.788,658.259,67.5284
2025-11-07,Tamesna,57,16.058,28.1719
2025-11-07,El Mellah,35,10.195,29.1286
2025-11-07,El Himer,14,1.074,7.67143
2025-11-07,Maazer,13,-,-
2025-11-07,O. Hassar,2.24,-,-
2025-11-07,Ain Kouachia,11,6.761,61.4636
2025-11-07,Zamrine,0.496,0.341,68.75
2025-11-07,Réserve totale,,692.6879,
2025-11-06,Sidi Mohammed Ben Abdellah,974.788,657.898,67.4914
2025-11-06,Tamesna,57,16.087,28.2228
2025-11-06,El Mellah,35,10.195,29.1286
2025-11-06,El Himer,14,1.074,7.67143
2025-11-06,Maazer,13,-,-
2025-11-06,O. Hassar,2.24,-,-
2025-11-06,Ain Kouachia,11,6.773,61.5727
2025-11-06,Zamrine,0.496,0.342,68.9516
2025-11-06,Réserve totale,,692.36896,
2025-11-05,Sidi Mohammed Ben Abdellah,974.788,657.898,67.4914
2025-11-05,Tamesna,57,16.116,28.2737
2025-11-05,El Mellah,35,10.222,29.2057
2025-11-05,El Himer,14,1.077,7.69286
2025-11-05,Maazer,13,-,-
2025-11-05,O. Hassar,2.24,-,-
2025-11-05,Ain Kouachia,11,6.773,61.5727
2025-11-05,Zamrine,0.496,0.342,68.9516
2025-11-05,Réserve totale,,692.42804,
2025-11-04,Sidi Mohammed Ben Abdellah,974.788,657.898,67.4914
2025-11-04,Tamesna,57,16.131,28.3
2025-11-04,El Mellah,35,10.249,29.2829
2025-11-04,El Himer,14,1.077,7.69286
2025-11-04,Maazer,13,-,-
2025-11-04,O. Hassar,2.24,-,-
2025-11-04,Ain Kouachia,11,6.773,61.5727
2025-11-04,Zamrine,0.496,0.343,69.1532
2025-11-04,Réserve totale,,692.47107,
2025-11-03,Sidi Mohammed Ben Abdellah,974.788,-,-
2025-11-03,Tamesna,57,16.161,28.3526
2025-11-03,El Mellah,35,10.276,29.36
2025-11-03,El Himer,14,1.081,7.72143
2025-11-03,Maazer,13,-,-
2025-11-03,O. Hassar,2.24,-,-
2025-11-03,Ain Kouachia,11,6.773,61.5727
2025-11-03,Zamrine,0.496,0.344,69.3548
2025-11-03,Réserve totale,,34.635002,
2025-11-02,Sidi Mohammed Ben Abdellah,974.788,657.536,67.4543
2025-11-02,Tamesna,57,16.19,28.4035
2025-11-02,El Mellah,35,10.276,29.36
2025-11-02,El Himer,14,1.081,7.72143
2025-11-02,Maazer,13,-,-
2025-11-02,O. Hassar,2.24,-,-
2025-11-02,Ain Kouachia,11,6.786,61.6909
2025-11-02,Zamrine,0.496,0.344,69.3548
2025-11-02,Réserve totale,,692.213,
2025-11-01,Sidi Mohammed Ben Abdellah,974.788,657.536,67.4543
2025-11-01,Tamesna,57,16.205,28.4298
2025-11-01,El Mellah,35,10.304,29.44
2025-11-01,El Himer,14,1.084,7.74286
2025-11-01,Maazer,13,-,-
2025-11-01,O. Hassar,2.24,-,-
2025-11-01,Ain Kouachia,11,6.786,61.6909
2025-11-01,Zamrine,0.496,0.344,69.3548
2025-11-01,Réserve totale,,692.25903,
2025-10-31,Sidi Mohammed Ben Abdellah,974.788,657.175,67.4172
2025-10-31,Tamesna,57,16.219,28.4544
